Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00     3978     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::__normal_iterator(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* const&)
  0.00      0.02     0.00     3966     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
  0.00      0.02     0.00     3613     0.00     0.00  std::_Rb_tree<long, long, std::_Identity<long>, std::less<long>, std::allocator<long> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.02     0.00     3534     0.00     0.00  std::_Vector_base<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > >::_M_get_Tp_allocator()
  0.00      0.02     0.00     3528     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00      0.02     0.00     3506     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<long, std::allocator<long> >*, std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > > >::__normal_iterator(std::vector<long, std::allocator<long> >* const&)
  0.00      0.02     0.00     3350     0.00     0.00  __gnu_cxx::new_allocator<std::vector<long, std::allocator<long> > >::~new_allocator()
  0.00      0.02     0.00     3350     0.00     0.00  std::allocator<std::vector<long, std::allocator<long> > >::~allocator()
  0.00      0.02     0.00     3336     0.00     0.00  __gnu_cxx::new_allocator<std::vector<long, std::allocator<long> > >::new_allocator(__gnu_cxx::new_allocator<std::vector<long, std::allocator<long> > > const&)
  0.00      0.02     0.00     3336     0.00     0.00  std::allocator<std::vector<long, std::allocator<long> > >::allocator(std::allocator<std::vector<long, std::allocator<long> > > const&)
